Date Reported,Incident Site,JIV Date,Terrain,Cause,Estimated Spill Volume (bbl),Recovered Spill Volume (bbl),Clean-up Status,Comments,Photo,JIV Report
"Jan 26, 2019",16'' Egbema - Assa Rumuekpe Pipeline at Umudike,"Jan 26, 2019",Land,Sabotage,45.0,18.86,"Recovery completed on 30 Jan 2019, assessment completed on 13 Mar 2019, clean-up and remediation completed on 17 Jan 2020, site certified on 14 Jun 2022, documentation completed on 21 Jun 2022",-,Download,Download
"Jan 27, 2019",28'' Bomu - Bonny Pipeline at Owokiri,"Jan 28, 2019",Swamp,Sabotage,6.0,,"Spill was contained on 28 Jan 2019, no recoverable oil found, assessment completed on 05 Feb 2020, clean-up and remediation not required, site certified on 15 Jul 2021, documentation completed on 16 Jul 2021",-,Download,Download
"Jan 28, 2019",12'' Imoriver - Ogale Pipeline at Ogale,"Jan 30, 2019",Land,Sabotage,14.0,,"Recovery completed on 03 Feb 2019, assessment completed on 01 Apr 2019, clean-up and remediation completed on 09 Jul 2021, site certified on 04 Oct 2021, documentation completed on 05 Apr 2022",Site re-impacted by new event incident # 2277671.,Download,Download
"Jan 30, 2019",12'' Imoriver - Ogale Pipeline at Igiriukwu-Owaza,"Jan 31, 2019",Land,Sabotage,156.0,128.0,"Recovery completed on 04 Feb 2019, assessment completed on 22 Aug 2019, clean-up and remediation completed on 21 Jan 2020, site certification planned to be completed in Mar 2022",-,Download,Download
"Jan 30, 2019",12'' Imoriver - Ogale Pipeline at Komkom,"Feb 02, 2019",Land,Sabotage,6.0,2.0,"Recovery completed on 22 Feb 2019, assessment completed on 02 Apr 2019, clean-up and remediation completed on 04 Jul 2019, site certified on 07 Nov 2022, documentation completed on 09 Dec 2022",-,Download,Download
"Feb 02, 2019",20'' Kolocreek - Rumuekpe Pieline at Odau KM9,"Feb 08, 2019",Land,Sabotage,291.0,234.0,"Spill was contained on 08 Feb 2019, recovery completed on 30 Mar 2019, assessment completed on 19 Jul 2022, clean-up and remediation not required, site certification planned to be completed in Dec 2022",-,Download,Download
"Feb 03, 2019",12'' Imoriver - Ogale Pipeline at Uzuaku,"Feb 04, 2019",Land,Sabotage,1010.0,901.4,"Recovery completed on 08 Feb 2019, assessment completed on 14 Mar 2019, clean-up and remediation completed on 26 Mar 2021, site certified on 07 Nov 2022, documentation completed on 23 Nov 2022",-,Download,Download
"Feb 04, 2019",6'' Imoriver2 - Imoriver1 Bulkline at Odagwa,"Feb 06, 2019",Land,Sabotage,0.8,,"Spill was contained on 05 Feb 2019, no recoverable oil found, assessment completed on 26 Feb 2019, clean-up and remediation completed on 07 May 2019, site certification planned to be completed in Dec 2023",-,Download,Download
"Feb 08, 2019","24"" Nkpoku - Bomu Pipeline at Egbalor","Feb 11, 2019",Land,Sabotage,35.0,20.0,"Recovery completed on 11 Feb 2019, assessment completed on 06 Jul 2019, clean-up and remediation completed on 01 Jun 2020, site certified on 21 Dec 2020, documentation completed on 01 Feb 2021",-,Download,Download
"Feb 09, 2019","24"" Nkpoku - Bomu Pipeline at Kporghor","Feb 09, 2019",Land,Sabotage,0.2,,"No recoverable oil found, assessment completed on 15 Apr 2019, clean-up and remediation completed on 20 Aug 2021, site certified on 29 Oct 2021, documentation completed on 01 Mar 2022",-,Download,Download
"Feb 11, 2019",18'' Assa - Rumuekpe Pipeline at Awara,"Feb 13, 2019",Land,Sabotage,8.0,5.0,"Recovery completed on 13 Feb 2019, assessment completed on 26 Sep 2022, clean-up and remediation not required, site certification planned to be completed in Dec 2022",-,Download,Download
"Feb 13, 2019","28"" Nkpoku - Bomu Pipeline at Aleto","Feb 14, 2019",Land,Sabotage,313.0,260.0,"Recovery completed on 15 Feb 2019, assessment completed on 05 Mar 2019, clean-up and remediation completed on 24 Jan 2020, site certification planned to be completed in Sep 2023",-,Download,Download
"Feb 19, 2019","36"" Nkpoku - Bomu Pipeline at Rumurholu/Eneka axis","Feb 20, 2019",Land,Sabotage,276.0,254.0,"Recovery completed on 24 Feb 2019, assessment completed on 30 Aug 2021, clean-up and remediation completed on 19 Oct 2022, site certification planned to be completed in Jun 2023",-,Download,Download
"Feb 19, 2019","24'' Nkpoku-Bomu Pipeline at Barayira, Nonwa","Feb 19, 2019",Land,Sabotage,0.5,,"No recoverable oil found, assessment completed on 12 Mar 2019, clean-up and remediation completed on 13 Oct 2022, site certified on 24 Jan 2023, documentation completed on 31 Jan 2023",Overlapping incident 2019_2504722 recorded at same location on 13th Nov. 2019,Download,Download
"Feb 19, 2019",28'' Bomu-Bonny Pipeline at Patrick Waterside,"Feb 20, 2019",Swamp,Sabotage,129.0,45.0,"Recovery completed on 17 Apr 2019, assessment completed on 12 Nov 2019, clean-up and remediation planned to be completed in Dec 2022","Stated Timeline for clean up is as agreed between NAPIMS, DPR, NOSDRA and Bodo Community Representative; to ensure effective thorough clean up and certification. The Bodo Clean up process is managed by an independent mediation committee(Bodo Mediation Initiative BMI) Comprising among others of representatives of Federal/state government, regulators, Bodo community and coalition of NGOs",Download,Download
"Feb 21, 2019",14'' Okordia - Rumuekpe Pipeline at Ula-Ikata,"Feb 22, 2019",Land,Sabotage,288.0,275.0,"Spill was contained on 22 Feb 2019, recovery completed on 17 Mar 2019, assessment completed on 05 Jul 2019, clean-up and remediation completed on 07 Apr 2022, site certified on 17 Oct 2022, documentation completed on 21 Oct 2022",The incident occurred on 21st February 2019.The JIV commenced on 22nd February 2019 but could not progress due to the marshy terrain of the spill area. Mud mat had to e deployed before the spill point could be assessed and JIV was then restarted on 1st March 2019 and was completed on the same day. Currently Site Re-impacted re-assessment done awaiting RAP approval.,Download,Download
"Feb 21, 2019",12'' Imo River - Ogale Pipeline at Owaza,"Feb 26, 2019",Land,Sabotage,6.0,1.0,"Spill was contained on 22 Feb 2019, recovery completed on 07 Mar 2019, assessment completed on 28 Mar 2019, clean-up and remediation completed on 20 Jul 2021, site certified on 07 Nov 2022, documentation completed on 07 Feb 2023",-,Download,Download
"Feb 25, 2019","18""Assa -Rumuekpe Pipeline at Egbeda","Feb 27, 2019",Land,Sabotage,791.0,762.0,"Recovery completed on 02 Mar 2019, assessment completed on 15 Oct 2019, clean-up and remediation completed on 15 Feb 2021, site certified on 15 Jul 2021, documentation completed on 16 Jun 2022",-,Download,Download
"Feb 26, 2019",20'' Kolocreek - Rumuekpe Pipeline Riser at Rumuekpe,"Feb 27, 2019",Land,Sabotage,0.7,,"Spill was contained on 25 Feb 2019, no recoverable oil found, assessment completed on 27 Aug 2019, clean-up and remediation not required, site certified on 09 Mar 2020, documentation completed on 04 Nov 2021",-,Download,Download
"Feb 27, 2019",12'' Imo River at Ogale Pipeline at Ogale,"Mar 01, 2019",Land,Sabotage,14.0,5.0,"Recovery completed on 01 Mar 2019, assessment completed on 01 Apr 2019, clean-up and remediation completed on 09 Jul 2021, site certified on 04 Oct 2021, documentation completed on 28 Feb 2022",Overlaps incident No 2254193,Download,Download
"Feb 27, 2019",10'' DiebuCreek â€“ NunRiver Pipeline at Peremabiri,"Mar 02, 2019",Swamp,Sabotage,18.0,10.0,"Spill was contained on 28 Feb 2019, recovery completed on 14 Apr 2019, assessment completed on 08 May 2019, clean-up and remediation completed on 05 Apr 2021, site certified on 08 Dec 2021, documentation planned to be completed in Jun 2022",-,Download,Download
"Mar 01, 2019",28'' Bomu - Bonny Pipeline at Owokiri,"Mar 06, 2019",Land,Sabotage,23.0,3.0,"Recovery completed on 06 Mar 2019, assessment completed on 15 Mar 2019, clean-up and remediation not required, site certified on 28 Aug 2020, documentation completed on 31 Dec 2020",-,Download,Download
"Mar 06, 2019",12'' ImoRiver ât Ogale Pipeline at Ogale,"Mar 07, 2019",Land,Sabotage,2.0,3.0,"Recovery completed on 07 Mar 2019, assessment completed on 20 Mar 2019, clean-up and remediation completed on 31 Jul 2019, site certified on 18 Sep 2019, documentation completed on 04 Nov 2019",-,Download,Download
"Mar 07, 2019",12'' ImoRiver ât Ogale Pipeline at Uzuaku,"Mar 12, 2019",Land,Sabotage,4.0,4.0,"Recovery completed on 12 Mar 2019, assessment completed on 10 Jul 2019, clean-up and remediation completed on 29 Aug 2019, site certified on 15 Jul 2021, documentation planned to be completed in May 2022",-,Download,Download
"Mar 16, 2019","16"" Tunu - Brasscreek Pipeline at Agbidiama","Mar 29, 2019",Swamp,Sabotage,136.0,88.8,"Recovery completed on 22 Apr 2019, assessment completed on 02 Jun 2021, clean-up and remediation not required, site certified on 21 Feb 2022, documentation completed on 22 Jul 2022",-,Download,Download
"Mar 20, 2019",36'' Nkpoku -Bomu Pipeline at Elelenwo,"Mar 21, 2019",Land,Sabotage,176.0,163.0,"Recovery completed on 23 Mar 2019, assessment completed on 03 Sep 2019, clean-up and remediation completed on 25 Feb 2021, site certified on 15 Jul 2021, documentation planned to be completed in Sep 2022",-,Download,Download
"Mar 24, 2019","8"" Nkali - ImoRiver2 Pipeline at Odagwa","Mar 25, 2019",Land,Sabotage,1.0,0.3,"Recovery completed on 27 Mar 2019, assessment completed on 05 Apr 2019, clean-up and remediation completed on 28 Jun 2019, site certified on 15 Oct 2019, documentation planned to be completed in Dec 2021",-,Download,Download
"Mar 24, 2019",36'' Nkpoku - Bomu Pipeline at Atali,"Mar 25, 2019",Land,Sabotage,41.0,31.45,"Spill was contained on 25 Mar 2019, recovery completed on 28 Mar 2019, assessment completed on 08 Apr 2019, clean-up and remediation completed on 30 Jun 2022, site certification planned to be completed in Mar 2023",-,Download,Download
"Mar 24, 2019",10'' Diebu Creek - Nun River Pipeline at Peremabiri,"Mar 26, 2019",Swamp,Sabotage,75.0,67.0,"Spill was contained on 25 Mar 2019, recovery completed on 15 May 2019, assessment completed on 31 May 2019, clean-up and remediation completed on 06 Apr 2021, site certified on 08 Dec 2021, documentation planned to be completed in Jun 2022",-,Download,Download
"Mar 27, 2019",28'' Nkpoku to Bomu Pipeline at Rumuowha-Eneka,"Mar 29, 2019",Land,Sabotage,2.0,1.0,"Recovery completed on 29 Mar 2019, assessment completed on 18 Apr 2019, clean-up and remediation not required, site certified on 15 Nov 2019, documentation planned to be completed in Nov 2021",-,Download,Download
"Mar 31, 2019","28"" Nkpoku - Bomu Pipeline at B-Dere","Apr 19, 2019",Land,Sabotage,0.8,,"No recoverable oil found, assessment completed on 18 Jun 2019, clean-up and remediation completed on 22 Mar 2022, site certified on 14 Jun 2022, documentation completed on 01 Jul 2022",-,Download,Download
"Apr 02, 2019","20"" Kolocreek - Rumuekpe Pipeline at Odau KM 19","May 23, 2019",Land,Sabotage,0.9,,"No recoverable oil found, assessment completed on 06 Sep 2022, clean-up and remediation not required, site certification planned to be completed in Sep 2023",-,Download,Download
"Apr 03, 2019","16"" Nun River - Kolocreek Pipeline at Otuegwe1","Apr 12, 2019",Swamp,Operational,3.0,,"No recoverable oil found, assessment completed on 01 Sep 2019, clean-up and remediation not required, site certified on 28 Apr 2022, documentation completed on 06 May 2022",-,Download,Download
"Apr 08, 2019","16"" Egbema - Assa Pipeline at Obile","Apr 09, 2019",Land,Sabotage,10.0,5.0,"Spill was contained on 07 Apr 2019, recovery completed on 07 Apr 2019, assessment completed on 14 Feb 2020, clean-up and remediation completed on 30 Mar 2021, site certified on 04 Apr 2022, documentation planned to be completed in Jun 2022",-,Download,Download
"Apr 09, 2019","12"" Imo River 2 - Ogale Pipeline at Igiriukwu-Owaza","Apr 11, 2019",Land,Sabotage,3.0,1.26,"Recovery completed on 15 Apr 2019, assessment completed on 08 Feb 2020, clean-up and remediation completed on 29 Jun 2021, site certification planned to be completed in Mar 2022",-,Download,Download
"Apr 09, 2019","12"" Imo River 2 - Ogale Pipeline at Igiriukwu-Owaza","Apr 11, 2019",Land,Sabotage,1.0,1.0,"Recovery completed on 15 Apr 2019, assessment completed on 15 Dec 2022, clean-up and remediation not required, site certification planned to be completed in Mar 2023",-,Download,Download
"Apr 09, 2019","24"" Bomu - Bonny Pipeline at Patrick Waterside","Apr 10, 2019",Land,Sabotage,43.0,28.0,"Recovery completed on 17 Apr 2019, assessment completed on 12 Nov 2019, clean-up and remediation planned to be completed in Dec 2022","Stated timeline for clean-up is as agreed between NAPIMS, DPR, NOSDRA, BODO and community representatives; to ensure effective/thorough clean-up and certification. The Bodo clean-up process is managed by an independent mediation committee (Bodo Mediation Initiative - BMI) comprising amongst others of representatives of; Federal/State Government regulators, Bodo Community and Coalition of NGOs.",Download,Download
"Apr 15, 2019","4"" Opukushi Well 33L/S Flowline at Egbemo-Analabiri-Agbidiama","May 07, 2019",Swamp,Sabotage,0.1,,"No recoverable oil found, assessment completed on 10 Jan 2020, clean-up and remediation not required, site certified on 23 Feb 2022, documentation completed on 31 May 2022",-,Download,Download
"Apr 15, 2019",4'' Imo River 2 Well 21L Flowline at Odagwa,"Apr 17, 2019",Land,Sabotage,0.4,,"Recovery completed on 17 Apr 2019, assessment completed on 03 Jun 2019, clean-up and remediation completed on 25 Sep 2019, site certified on 20 Dec 2019, documentation completed on 26 Feb 2020",-,Download,Download
"Apr 17, 2019","18"" Assa - Rumuekpe Pipeline at Ochia-Awarra","Apr 18, 2019",Land,Sabotage,5.0,2.0,"Recovery completed on 20 Apr 2019, assessment completed on 26 Jun 2019, clean-up and remediation completed on 03 Feb 2021, site certification planned to be completed in Sep 2021",-,Download,Download
"Apr 17, 2019","18"" Assa - Rumuekpe Pipeline at Elele-Alimini","Apr 18, 2019",Land,Sabotage,1.0,,"Spill was contained on 18 Apr 2019, no recoverable oil found, assessment completed on 09 Sep 2019, clean-up and remediation completed on 03 Sep 2021, site certified on 14 Jun 2022, documentation planned to be completed in Jun 2022",-,Download,Download
"Apr 17, 2019","10"" Diebu - NunRiver Pipeline at Onyoma_Ekowe","Apr 27, 2019",Swamp,Sabotage,70.0,46.0,"Recovery completed on 22 May 2019, assessment completed on 24 Jan 2020, clean-up and remediation completed on 12 Apr 2021, site certified on 08 Dec 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Apr 18, 2019","12"" Imo River - Ogale Pipeline at Ogale","Apr 20, 2019",Land,Sabotage,4.0,1.0,"Recovery completed on 20 Apr 2019, assessment completed on 12 May 2019, clean-up and remediation completed on 31 Jul 2019, site certified on 18 Sep 2019, documentation completed on 04 Nov 2019",-,Download,Download
"Apr 19, 2019","24"" Nkpoku - Bomu Pipeline at Egbalor","Apr 21, 2019",Land,Sabotage,4.0,,"No recoverable oil found, assessment completed on 12 May 2019, clean-up and remediation completed on 30 Jun 2020, site certified on 21 Dec 2020, documentation completed on 01 Feb 2021",-,Download,Download
"Apr 20, 2019","24"" Bomu - Bonny Pipeline at Kpor","Apr 25, 2019",Land,Sabotage,14.0,0.0,"Recovery completed on 25 Apr 2019, assessment planned to be completed in Jan 2022","As a result of constant re-pollution of the site by artisanal refining and crude oil theft activities, it was agreed that the Hydrocarbon Pollution Remediation Project (HYPREP) will manage the site as part of their wider Ogoniland remediation. The site will be handed over to HYPREP upon commencement of their swamp remediation programs.",Download,Download
"Apr 24, 2019","14"" Okordia - Rumuekpe Pipeline at Ukpeliede","Apr 28, 2019",Land,Sabotage,150.0,52.0,"Recovery completed on 21 Jul 2019, assessment completed on 01 Mar 2023, clean-up and remediation not required, site certification planned to be completed in Jun 2023",-,Download,Download
"Apr 25, 2019","12"" Imo River2 - Ogale Pipeline at Igiriukwu-Owaza","Apr 26, 2019",Land,Sabotage,4.0,,"Spill was contained on 26 Apr 2019, no recoverable oil found, assessment completed on 15 Dec 2022, clean-up and remediation not required, site certification planned to be completed in Mar 2023",-,Download,Download
"Apr 26, 2019","6"" Tunu Kanbo Well 7L Flowline at Egbemo - Angalabiri - Agbidiama","May 09, 2019",Swamp,Sabotage,37.0,,"No recoverable oil found, assessment completed on 04 Apr 2022, clean-up and remediation not required, site certification planned to be completed in Mar 2023",-,Download,Download
"Apr 26, 2019","12"" Imo River2-Ogale Pipeline at Komkom","Apr 30, 2019",Land,Sabotage,2.0,0.0,"Recovery completed on 30 Apr 2019, assessment completed on 16 May 2019, clean-up and remediation completed on 18 Feb 2020, site certified on 07 Nov 2022, documentation planned to be completed in Mar 2023",-,Download,Download
"Apr 28, 2019","12"" Imo River2 - Ogale Pipeline at Komkom","Apr 30, 2019",Land,Sabotage,0.6,,"No recoverable oil found, assessment completed on 16 May 2019, clean-up and remediation completed on 06 Feb 2020, site certified on 28 Aug 2020, documentation completed on 28 Aug 2020",-,Download,Download
"May 04, 2019","14"" Okordia - Rumuekpe Pipeline at Akara-Olu","May 07, 2019",Land,Sabotage,2.0,,"No recoverable oil found, assessment completed on 05 Sep 2019, clean-up and remediation not required, site certified on 07 May 2021, documentation completed on 31 Dec 2021",-,Download,Download
"May 04, 2019","14"" Okordia - Rumuekpe Pipeline at Akara-Olu","May 07, 2019",Land,Sabotage,54.0,51.0,"Recovery completed on 07 Aug 2019, assessment completed on 28 Feb 2021, clean-up and remediation completed on 17 Jun 2021, site certified on 10 May 2022, documentation completed on 30 Jun 2022",-,Download,Download
"May 06, 2019","6"" Opukushi Well 25T Flowline at Egbemo Analabiri & Agbidiama","May 07, 2019",Swamp,Sabotage,0.3,,"No recoverable oil found, assessment completed on 05 Sep 2019, clean-up and remediation not required, site certified on 23 Feb 2022, documentation completed on 29 Jul 2022",-,Download,Download
"May 06, 2019","28"" Bomu-Bonny Pipeline at Patrick Waterside","May 06, 2019",Land,Sabotage,0.3,171.0,"Recovery completed on 16 May 2019, assessment completed on 11 Nov 2019, clean-up and remediation planned to be completed in Dec 2022","Stated timeline for cleanup is as agreed between NAPIMS, DPR, NOSDRA, BODO and community representatives; to ensure cleanup and certification. the Bodo cleanup process is managed by an independent mediation committee (Bodo Mediation Initiative- BMI) comprising amongst others of representatives of; Federal/State Government, Bodo community and coalition of NGOs.",Download,Download
"May 06, 2019","4"" Opukushi Well 9T flowline at Egbemo Analabiri & Agbidiama","May 07, 2019",Swamp,Sabotage,0.5,,"No recoverable oil found, assessment completed on 05 Sep 2019, clean-up and remediation not required, site certified on 28 Jul 2022, documentation completed on 30 Dec 2022",-,Download,Download
"May 07, 2019",Yokri LP1 bulkline manifold-8 at Yokri,"May 15, 2019",Swamp,Operational,0.8,,"No recoverable oil found, assessment completed on 11 Mar 2021, clean-up and remediation not required, site certified on 01 Feb 2022, documentation completed on 31 May 2022",-,Download,Download
"May 07, 2019","4"" Opukushi Well 24T Flowline at Egbemo Analabiri & Agbidiama","May 07, 2019",Swamp,Sabotage,0.3,,"No recoverable oil found, assessment completed on 05 Sep 2019, clean-up and remediation not required, site certified on 23 Feb 2022, documentation completed on 29 Jul 2022",-,Download,Download
"May 10, 2019","20"" Otumara - Escravos Pipeline at Ugboegungun","May 10, 2019",Land,Sabotage,0.6,,"No recoverable oil found, assessment completed on 05 Apr 2021, clean-up and remediation not required, site certified on 01 Feb 2022, documentation completed on 29 Apr 2022",-,Download,Download
"May 14, 2019","28"" Bomu-Bonny Pipeline at Owokiri","May 14, 2019",Swamp,Sabotage,13.0,351.0,"Spill was contained on 13 May 2019, recovery completed on 31 May 2019, assessment completed on 27 Jun 2019, clean-up and remediation completed on 20 Jan 2020, site certified on 15 Jul 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"May 14, 2019",Obigbo North Well 3L/S Flowlines at Umuebulu,"May 16, 2019",Land,Sabotage,1.0,0.31,"Recovery completed on 16 May 2019, assessment completed on 05 Aug 2019, clean-up and remediation completed on 16 Feb 2021, site certified on 07 Jul 2022, documentation planned to be completed in Sep 2022",-,Download,Download
"May 16, 2019","20"" Kolocreek - Rumuekpe Pipeline at Okoma-1","May 18, 2019",Land,Sabotage,102.0,44.0,"Recovery completed on 27 Jul 2019, assessment completed on 27 Oct 2022, clean-up and remediation not required, site certification planned to be completed in Jun 2023",-,Download,Download
"May 18, 2019","20”, 28”, 36” Rumuekpe – Nkpoku Pipeline at Omuigwe-Aluu.","May 22, 2019",Land,Sabotage,0.01,,"Recovery completed on 22 May 2019, assessment completed on 05 Sep 2019, clean-up and remediation completed on 17 May 2020, site certified on 07 May 2021, documentation planned to be completed in Mar 2022",-,,
"May 19, 2019","20"" Kolocreek - Rumuekpe Pipeline at Okoma-1","May 21, 2019",Land,Sabotage,3.0,,"No recoverable oil found, assessment completed on 24 Feb 2020, clean-up and remediation planned to be completed in Dec 2022",-,Download,Download
"May 20, 2019","20"" Kolocreek - Rumuekpe Pipeline at Odau KM9","May 21, 2019",Land,Sabotage,169.0,150.0,"Spill was contained on 21 May 2019, recovery completed on 25 Jun 2019, assessment completed on 19 Jul 2022, clean-up and remediation not required, site certification planned to be completed in Dec 2022",-,Download,Download
"May 21, 2019","16"" Egbema - Assa Pipeline at Assa","May 23, 2019",Land,Sabotage,4.0,1.0,"Recovery completed on 24 May 2019, assessment completed on 26 Jun 2019, clean-up and remediation completed on 27 Mar 2020, site certified on 26 Aug 2020, documentation completed on 28 Jan 2022",-,Download,Download
"May 28, 2019","12"" Imo River - Ogale Pipeline at Umuololo","May 29, 2019",Land,Sabotage,3.0,,"No recoverable oil found, assessment completed on 15 Dec 2022, clean-up and remediation not required, site certification planned to be completed in Mar 2023",-,Download,Download
"May 29, 2019","14"" Okordia - Rumuekpe Pipeline at Oshie","Jun 01, 2019",Land,Sabotage,7.0,,"No recoverable oil found, assessment completed on 05 Aug 2019, clean-up and remediation planned to be completed in Mar 2023",-,Download,Download
"May 29, 2019","14"" Okordia - Rumuekpe Pipeline at Oshie","May 31, 2019",Land,Sabotage,74.0,25.0,"Recovery completed on 07 Aug 2019, assessment completed on 30 Jan 2020, clean-up and remediation planned to be completed in Mar 2023",-,Download,Download
"May 29, 2019","28"" TNP @ Owokiri","May 31, 2019",Swamp,Sabotage,5.0,2.0,"Spill was contained on 28 May 2019, recovery completed on 06 Jun 2019, assessment completed on 28 Jun 2019, clean-up and remediation completed on 09 Mar 2020, site certified on 05 Jul 2021, documentation completed on 31 Dec 2021",-,Download,Download
"May 29, 2019","12"" ImoRiver - Ogale Pipeline at Igiriukwu-Owaza","Jun 01, 2019",Land,Operational,11.0,8.0,"Recovery completed on 03 Jun 2019, assessment completed on 28 Nov 2019, clean-up and remediation completed on 27 Jan 2020, site certification planned to be completed in Jun 2023",-,Download,Download
"May 31, 2019","12"" Oguta - Egbema Pipeline at Umunkwu","Jun 05, 2019",Land,Sabotage,18.0,9.0,"Recovery completed on 08 Jun 2019, assessment completed on 30 Sep 2019, clean-up and remediation not required, site certified on 14 Jun 2022, documentation completed on 21 Jun 2022",-,Download,Download
"Jun 03, 2019","12"" Imo River2 - Ogale Pipeline at Owaza","Jun 04, 2019",Land,Sabotage,40.0,30.0,"Recovery completed on 16 Sep 2019, assessment completed on 08 Feb 2020, clean-up and remediation completed on 29 Jun 2021, site certification planned to be completed in Sep 2023",-,Download,Download
"Jun 03, 2019","36"" Nkpoku - Ogale Pipeline at Rumuesara-Eneka","Jun 05, 2019",Land,Sabotage,7.0,5.0,"Recovery completed on 05 Jun 2019, assessment completed on 28 Jun 2019, clean-up and remediation completed on 15 Jan 2021, site certified on 15 Jul 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Jun 03, 2019","8"" Nkali - Imo River2 Pipeline at Odagwa","Jun 06, 2019",Land,Sabotage,2.0,,"No recoverable oil found, assessment completed on 02 Aug 2019, clean-up and remediation completed on 15 Mar 2021, site certified on 18 Mar 2022, documentation planned to be completed in Apr 2022",-,Download,Download
"Jun 03, 2019","18"" Assa - Rumuekpe Pipeline at Egbeda","Jun 04, 2019",Land,Sabotage,69.0,58.0,"Recovery completed on 06 Jun 2019, assessment completed on 25 Apr 2020, clean-up and remediation completed on 25 Apr 2021, site certified on 15 Jul 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Jun 05, 2019","8"" Obigbo North - New Elelenwa Pipeline at Umusonya","Jun 08, 2019",Land,Sabotage,6.0,3.0,"Recovery completed on 09 Jun 2019, assessment completed on 25 Jul 2019, clean-up and remediation not required, site certified on 28 Aug 2020, documentation completed on 26 Mar 2021",-,Download,Download
